CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
227;33;P;WIRASWASTA NON FORMAL;3500000;02. JABAR;MOTOR BEKAS
228;21;L;PEG.SWASTA FORMAL;3500000;02. JABAR;2W_MPL
229;49;P;WIRASWASTA NON FORMAL;6500000;02. JABAR;MOTOR BARU
230;35;L;PEG.SWASTA FORMAL;3000000;02. JABAR;MOTOR BEKAS
231;21;L;PEG.SWASTA FORMAL;4500000;03. JATIM;MOTOR BARU
232;40;L;PEG.SWASTA FORMAL;6400000;03. JATIM;MOTOR BARU
233;48;L;WIRASWASTA NON FORMAL;33840000;02. JABAR;MOBIL BARU
234;24;L;PEG.SWASTA FORMAL;14299500;02. JABAR;MOBIL BEKAS
235;34;L;PEG.SWASTA FORMAL;4500000;01. JABOTABEK;MOTOR BARU
236;26;L;PEG.SWASTA NON FORMAL;7500000;01. JABOTABEK;MOTOR BARU
237;21;L;PEG.SWASTA FORMAL;5300000;02. JABAR;MOTOR BARU
238;23;P;PEG.SWASTA FORMAL;2400000;01. JABOTABEK;MOTOR BARU
239;27;P;PEG.SWASTA FORMAL;3000000;01. JABOTABEK;MOTOR BARU
240;42;P;WIRASWASTA NON FORMAL;2700000;01. JABOTABEK;MOTOR BARU
241;38;P;PEG.SWASTA FORMAL;4900000;01. JABOTABEK;MOTOR BARU
242;21;L;PEG.SWASTA FORMAL;2800000;01. JABOTABEK;2W_MPL
243;51;L;PEG.NEGERI;6231000;01. JABOTABEK;MOTOR BARU
244;34;P;PEG.SWASTA FORMAL;3000000;03. JATIM;MOTOR BARU
245;20;P;PEG.SWASTA FORMAL;3800000;01. JABOTABEK;MOTOR BARU
246;51;P;PEG.NEGERI;5000000;01. JABOTABEK;MOTOR BARU
247;20;L;PEG.SWASTA FORMAL;3800000;03. JATIM;MOTOR BARU
248;52;P;WIRASWASTA NON FORMAL;2500000;01. JABOTABEK;MOTOR BEKAS
249;29;P;PEG.SWASTA NON FORMAL;3500000;01. JABOTABEK;MOTOR BARU
250;22;L;PEG.SWASTA FORMAL;8400000;01. JABOTABEK;2W_MPL
251;30;L;WIRASWASTA NON FORMAL;5700000;03. JATIM;MOTOR BARU
252;30;L;PEG.SWASTA NON FORMAL;4000000;03. JATIM;DURABLE
253;22;L;WIRASWASTA NON FORMAL;4500000;04. JATENG;MOTOR BARU
254;40;P;WIRASWASTA NON FORMAL;5000000;04. JATENG;MOTOR BARU
255;48;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
